标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
17-18(2)第2次线上赛,4：和与积,"大柱有一次写了两个正整数a和b，告诉赵大佬，a是某两个正整数的和，而b恰好是这
两
个正整数的积，问这
两
个正整数分别是多少？（这两个正整数可以是相等的）","一个正整数n，表示有n组案例。
每组案例由两个正整数a和b构成。（1<=a，b<=100000000）","针对每组案例，如果无解，则输出-1；如果有解，则按从小到大顺序输出这两个正整数，两个数字之间有一个空格。
每组案例输出完都要换行。",,"2
9 20
100000000 
100000000","4 5
-1",41.40%,215,https://www.xujcoj.com/home/contest/238/problem/4,https://www.xujcoj.com/home/contest/238/problem,https://www.xujcoj.com/home/problem?keyword3=238,https://www.xujcoj.com/home/problem/detail/1706
17-18(2)第2次线上赛,5：神奇的衣架,"赵大佬
有a个神奇的衣架（
衣架
编号从1到a）和b件衣服（
衣服
编号从1到b），每个衣架上最多可以挂一件衣服。
如果某天
赵大佬
想穿的衣服刚好挂在其中某个衣架上，
赵大佬
整天都会心情愉快，在当天结束时，
赵大佬
又会把今天穿的衣服挂回到那个衣架上（假设衣服不会弄脏不需要清洗）。
如果
赵大佬
想穿的衣服不在这a个衣架上，机智的
赵大佬
会从衣柜里取出想穿的衣服，然后挂在编号最小的空衣架上（如果还有衣架是空的，注意不能挂在已经挂着衣服的衣架上），然后
整天心情愉快。当然，有的时候，
赵大佬
想把衣柜里的衣服
挂在衣架上时，会发现所有衣架都挂着衣服，这时
赵大佬
就会把衣架上最早以前挂上去的一件衣服取下，放回衣柜中，这样空出的衣架就可以挂
赵大佬
今天想穿的那件衣服了。
假设
赵大佬
每天只穿一件衣服，a个
衣架在最开始的时候都是空的，没有挂衣服，b件衣服的编号分别从1到b。已知
赵大佬
在c天里每天想穿的衣服编号，问在c天结束后，
赵大佬
的这a个衣架上的衣服编号分别是多少？","一个正整数n，表示有n组案例。
每组案例先是有三个正整数a、b、c（1<=
a、b、c
<=100），表示衣架的数量、衣服的数量、天数，
然后是c个整数（1到b之间），分别表示每天
赵大佬
想要穿的衣服编号。","针对每组案例，输出a个整数，分别表示a个衣架上各自挂的衣服编号。如果某个衣架上没有衣服，则相应位置的输出是0。每两个编号之间有一个空格。
每组案例输出完都要换行。",,"2
5 2 3
2 1 2
3 5 7
2 1 3 2 4 5 4","2 1 0 0 0
4 5 3",58.33%,36,https://www.xujcoj.com/home/contest/238/problem/5,https://www.xujcoj.com/home/contest/238/problem,https://www.xujcoj.com/home/problem?keyword3=238,https://www.xujcoj.com/home/problem/detail/1703
17-18(2)第1次线上赛,1：赛跑,大柱和黄大佬比赛跑步，黄大佬会把比赛总时间T小时中的s小时拿来睡觉。现在已知比赛总时间T、黄大佬睡觉时间s、黄大佬的跑步速度a、大柱的跑步速度b。问在比赛总时间内谁跑得更远。,"一个正整数n，表示有n组案例。
每组案例由4个整数T、s、a、b组成。（1<=T<=1000，0<=s<=T，1<=a<=100，1<=b<=100）","针对每组案例，如果黄大佬跑得远，则输出huang；如果大柱跑得远，则输出dazhu；如果跑得一样远，则输出dual。
每组案例输出完都要换行。",,"2
2 2 2 2
8 4 8 4","dazhu
dual",68.98%,274,https://www.xujcoj.com/home/contest/224/problem/1,https://www.xujcoj.com/home/contest/224/problem,https://www.xujcoj.com/home/problem?keyword3=224,https://www.xujcoj.com/home/problem/detail/1631
17-18(2)第1次线上赛,3：孤独骑士,"国际象棋棋盘由 8 × 8 的方格组成，每个方格由所在的行和列的编号唯一标识，其中列编号从 A 到 H，行编号从 1 到 8，记录一个方格的位置。例如下图中白棋国王的位置可以用 E1 表示。国际象棋中“马”的规则几乎和中国象棋一致，走“日”字。
现在假设棋盘上只有唯一的棋子“马”，问“马”下一步能走的位置总共有几个？","一个正整数n，表示有n组案例。
每组案例中，有一个字符串，表示“马”所在的棋盘位置编号。","针对每组案例，输出一个整数，表示“马”下一步能走的位置总共有几个。
每组案例输出完都要换行。",,"2
B1
E5","3
8",51.27%,158,https://www.xujcoj.com/home/contest/224/problem/3,https://www.xujcoj.com/home/contest/224/problem,https://www.xujcoj.com/home/problem?keyword3=224,https://www.xujcoj.com/home/problem/detail/1628
17-18(2)第1次线上赛,5：数字变换,"一个整数的合法变换有以下两种：
1. 翻转：例如，如果数字是123456，则翻转后是654321。
2. 除以10：注意是整数范畴下的除以10，例如，如果数字是123456，则除以10后是12345（而不是12345.6）。
大柱写了两个正整数a和b，想知道是否可以对a做若干次合法变换后，变成数字b。","一个正整数n，表示有n组案例。
每组案例有两个正整数，分别表示a和b。","针对每组案例，如果a经过若干次合法变换后可以变成数字b，则输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
11111 1
1 11111","Yes
No",40.00%,55,https://www.xujcoj.com/home/contest/224/problem/5,https://www.xujcoj.com/home/contest/224/problem,https://www.xujcoj.com/home/problem?keyword3=224,https://www.xujcoj.com/home/problem/detail/1627
17-18(1)第5次线上赛,1：花的颜色,"zt喜欢花，于是fzm经常去森林里采花。对于花的颜色，zt归结为三种：红、绿、蓝。然而有些花的颜色会介于这三种颜色之间，故zt把花的颜色定义为
红、绿、蓝三个分量，每个分量用0~255之间的一个整数来描述，例如红色分量如果等于0，则说明颜色中完全不含红色；如果等于255，则说明颜色中的红色达到了饱和。这样任意一种颜色就可以用三个
0~255之间的
整数来描述。例如纯蓝可以用（0，0，255）来表示。zt规定，以
红、绿、蓝三个分量中，值最大的那个颜色作为花的颜色（输入中保证只有1个最大值，没有并列最大）
。
fzm采了一大堆花回来，想知道红色的有几朵，绿色的有几朵，蓝色的有几朵？","只有一组案例。
一个正整数n，表示花的数量。然后有n行数据，每行数据由3个0~255之间的整数构成，表示一朵花的
红、绿、蓝三个分量的颜色。（不会出现两种颜色分量值并列最大）","3个整数，表示这n朵花中，红色、绿色、蓝色的数量。
每两个数之间留一个空格，最后一个数后面没有空格，不要换行。",,"3
0 255 0
120 130 110
230 100 100",1 2 0,82.53%,166,https://www.xujcoj.com/home/contest/196/problem/1,https://www.xujcoj.com/home/contest/196/problem,https://www.xujcoj.com/home/problem?keyword3=196,https://www.xujcoj.com/home/problem/detail/1544
17-18(1)第5次线上赛,2：花店,"zt开了一家花店。为了方便客户，zt把一些鲜花散装（即一
捆里只有1束花
），另一些鲜花每a束扎成一捆（即一捆里有a束花）。一个顾客想要买b束花，而zt只想按捆出售，问zt最少需要给顾客几捆花？假设花店里花的数量是无限的。","一个正整数n，表示n组案例。
每组案例由两个正整数a和b构成。(a>=2, b>=1)","针对每组案例，输出一个整数，表示最少的捆数。
每组案例输出完都要换行。",,"2
5 12
10 20","4
2",86.21%,145,https://www.xujcoj.com/home/contest/196/problem/2,https://www.xujcoj.com/home/contest/196/problem,https://www.xujcoj.com/home/problem?keyword3=196,https://www.xujcoj.com/home/problem/detail/1545
17-18(1)第4次线上赛,2：青蛙王子（Story 2）,"在大径村的井边，聚集着m只刚从井口爬出来的青蛙（王子），他们在猜测大径村小仙女hqy今年芳龄几许。

每只青蛙都给出了自己的答案，并决定选择其中重复出现次数最多的数字作为hqy的年龄。（保证只会有1个值出现次数最多）

问：hqy的年龄？","一个正整数n，表示n组案例。

每组案例中，先是一个正整数m，表示青蛙的数量；然后是m个正整数a1~am，表示每只青蛙猜测的年龄。(m<=5000, a<=5000)","针对每组案例，输出一个整数，表示m个数中出现次数最多的数字。

每组案例输出完都要换行。",,"1

5 1 8 8 20 100",8,48.93%,233,https://www.xujcoj.com/home/contest/183/problem/2,https://www.xujcoj.com/home/contest/183/problem,https://www.xujcoj.com/home/problem?keyword3=183,https://www.xujcoj.com/home/problem/detail/1507
17-18(1)第4次线上赛,3：青蛙王子（Story 3）,"一个不愿意透露名字的郑姓巫师告诉大径村小仙女hqy，如果能够成功地消灭一只青蛙，就可以保持容颜不老。

hqy在井边抓住了m只青蛙，又不忍心伤害它们，决定把他们中的一只抓起来带给巫师。

为了让自己轻松点，hqy决定选择最轻的一只带回去。

问：hqy带回的那只青蛙有多重？","一个正整数n，表示n组案例。

每组案例中有一个正整数m，表示青蛙的数量；然后是m个正整数，表示这m只青蛙的重量。(m<=5000)","针对每组案例，输出一个整数，表示最轻的青蛙重量。

每组案例输出完都要换行。",,"1

5 1 2 3 4 5",1,61.47%,218,https://www.xujcoj.com/home/contest/183/problem/3,https://www.xujcoj.com/home/contest/183/problem,https://www.xujcoj.com/home/problem?keyword3=183,https://www.xujcoj.com/home/problem/detail/1506
17-18(1)第4次线上赛,4：青蛙王子（Story 4）,"小仙女hqy又去井边抓了m只青蛙，然后把它们分别编成了1、2、3、4、...、m号，正面（背部）朝上放着。然后hqy想了一个数字，把编号为这个数字倍数的青蛙翻面（正面变反面，反面变正面）。接下来，hqy又想了一系列的数字，每想一个数字，就把编号为这个数字倍数的青蛙翻面。

问：最后有只青蛙正面朝上？","一个正整数n，表示n组案例。

每组案例中，先是两个正整数m和p(m<=5000, p<=100)，分别表示青蛙的数量和数字的总个数；然后是p个正整数，表示每个数字的值。","针对每组案例，输出一个整数，表示正面朝上的青蛙数量。

每组案例输出完都要换行。","第一个数字2后，10只青蛙的正反情况是：正反正反正反正反正反

第二个数字3后，10只青蛙的正反情况是：正反反反正正正反反反

正面朝上的青蛙数量为4","1

10 2

2 3",4,64.41%,118,https://www.xujcoj.com/home/contest/183/problem/4,https://www.xujcoj.com/home/contest/183/problem,https://www.xujcoj.com/home/problem?keyword3=183,https://www.xujcoj.com/home/problem/detail/1504
17-18(1)第4次线上赛,5：青蛙王子（Story 5）,"小仙女hqy把m只青蛙分别编成了1、2、3、4、...、m号，然后先把编号为2的倍数的青蛙涂成了黑色，接着是3的倍数的青蛙涂成了黑色，然后是4的倍数、5的倍数、...。一只青蛙可能被涂黑多次，但并不妨碍它仍是一只黑色的青蛙。每涂完编号为某个数字倍数的青蛙后，hqy就会去数剩余没有涂成黑色的青蛙数量。当这个数量小于等于p的时候，hqy就不再继续涂下一个数字倍数的青蛙。

问：当hqy停止涂色时，还有多少只青蛙没有被涂成黑色？","一个正整数n，表示n组案例。

每组案例由两个正整数m和p构成。（1<=p<m<=5000）","针对每组案例，输出一个整数，表示最后仍然保持绿色的青蛙的数量。

每组案例输出完都要换行。","第一轮2、4、6、8、10号青蛙变黑。

第二轮3、6、9号青蛙变黑。

第三轮4、8号青蛙变黑。

第四轮5、10号青蛙变黑。

当前仅剩1、7号这2只青蛙还是绿的，满足2<=p，故输出2。","1

10 2",2,62.13%,169,https://www.xujcoj.com/home/contest/183/problem/5,https://www.xujcoj.com/home/contest/183/problem,https://www.xujcoj.com/home/problem?keyword3=183,https://www.xujcoj.com/home/problem/detail/1501
17-18(1)第3次线上赛,1：老刘头是谁,"关于老刘头的姓，毫无疑问是Liu，但老刘头的名字，却众说纷纭。jp大佬说老刘头叫xinling，YY学姐说老刘头叫xinglin，老徐说老刘头叫xinxin。
但这道题跟老刘头叫什么一点关系也没有。
n个大佬分别猜测了老刘头今天多少岁，现在需要根据猜测的结果看看老刘头的年龄范围。","只有一组案例。
一个正整数n，然后是n个整数，分别表示每个人猜测老刘头的年龄。",两个整数，分别表示这n个整数中的最小值和最大值。两个数之间有一个空格，不要换行。,,"3
18 19 20",18 20,73.41%,267,https://www.xujcoj.com/home/contest/178/problem/1,https://www.xujcoj.com/home/contest/178/problem,https://www.xujcoj.com/home/problem?keyword3=178,https://www.xujcoj.com/home/problem/detail/1484
17-18(1)第3次线上赛,3：老刘头的数学,老刘头有一天在思考一个数学问题，m以内（包括m）的正整数中，有多少个数字满足以下条件：个位数字的平方大于其他位数字的平方和？,"一个正整数n，表示n组案例。
每组案例由一个正整数m构成。（m<=10000）","针对每组案例，输出一个整数，表示m以内（包括m）的正整数中，满足条件的数字个数。
每组案例输出完都要换行。",," 2
1
10000"," 1
1372",48.84%,172,https://www.xujcoj.com/home/contest/178/problem/3,https://www.xujcoj.com/home/contest/178/problem,https://www.xujcoj.com/home/problem?keyword3=178,https://www.xujcoj.com/home/problem/detail/1486
17-18(1)第3次线上赛,4：老刘头的数学II,六娃拿了一个整数找到老刘头，说这个整数等于某两个素数的乘积，问老刘头其中较大的素数等于几。,"一个正整数n，表示有n组案例。
每组案例由一个整数m构成。（m<=1亿）","针对每组案例，输出一个整数，表示构成m的两个素数中较大的那个。（如果相等则任意输出一个）。
每组案例输出完都要换行。",,"2
21
25","7
5",45.26%,137,https://www.xujcoj.com/home/contest/178/problem/4,https://www.xujcoj.com/home/contest/178/problem,https://www.xujcoj.com/home/problem?keyword3=178,https://www.xujcoj.com/home/problem/detail/1487
17-18(1)第2次线上赛,3：征服者纯哥,"老徐有一天想知道有多少2017级的学弟喜欢纯哥，就开展了一次问卷调查。为了掩耳盗铃，老徐向学弟和学妹都发了问卷调查，但暗中只观察学弟的问卷结果。
在老徐的问卷中，只需要填两个内容：性别以及是否喜欢纯哥。
在回收问卷的时候，老徐发现有的问卷中，关于是否喜欢纯哥的答案不置可否，也就是说也有可能是喜欢，也有可能是不喜欢。不但如此，有的问卷中的性别也是不置雌雄，也就是说可能是学弟，也有可能是学妹。
根据回收的问卷，老徐想要知道，最少以及最多会有多少学弟喜欢纯哥。","只有一组案例。
先是一个正整数n，表示一共发放了n张调察问卷。
然后是n行，每行表示一张问卷的结果，由2个字符构成，字符之间以一个空格间隔。其中第一个字符只可能是M、F、U，分别表示男、女、未知性别，第二个字符只可能是L、N、U，分别表示喜欢、不喜欢、你猜猜看喜不喜欢。","两个整数，整数之间以一个空格间隔。其中第一个整数表示最少有多少学弟喜欢纯哥，第二个整数表示最多有多少学弟喜欢纯哥。
不要换行。","最小值出现的情况是第一个男生不喜欢，而第三个人是女生
最大值出现的情况是第一个男生喜欢，第三个人是男生","3
M U
F N
U L",0 2,55.95%,227,https://www.xujcoj.com/home/contest/159/problem/3,https://www.xujcoj.com/home/contest/159/problem,https://www.xujcoj.com/home/problem?keyword3=159,https://www.xujcoj.com/home/problem/detail/1434
17-18(1)第2次线上赛,4：纯哥的名次,纯哥报名参加了马拉松比赛，已知所有参赛选手的比赛成绩，求纯哥的名次。,"只有一组案例。
首先是一个正整数n，表示参赛的总人数（包含纯哥）
接下来的一行是3个整数a、b、c，表示纯哥的比赛成绩是a小时b分c秒
然后是n-1行，每行3个整数x、y、z，表示其他参赛选手的比赛成绩是x小时y分z秒",一个整数，表示纯哥的名次。不要换行。,1小时2分3秒的成绩仅次于那个1小时的成绩,"4
1 2 3
1 0 0
2 0 10
1 5 15",2,62.90%,186,https://www.xujcoj.com/home/contest/159/problem/4,https://www.xujcoj.com/home/contest/159/problem,https://www.xujcoj.com/home/problem?keyword3=159,https://www.xujcoj.com/home/problem/detail/1436
17-18(1)第1次线上赛,1：工作日,星期一到星期五是工作日，星期六和星期日是周末。根据输入的星期几属于工作日还是周末，输出working day或者holiday,"第1行是一个正整数n，表示测试案例的数量。
从第2行到第n+1行，每行是一组测试案例，每组案例包含一个整数m，表示星期几","针对每组案例，如果m是1到5之间的数字，则输出working day；（注意working和day之间有个空格）
如果m是6或者7，则输出holiday；
其他情况输出error。
每组案例输出完都要换行。",,"3
2
6
8","working day
holiday
error",51.34%,261,https://www.xujcoj.com/home/contest/154/problem/1,https://www.xujcoj.com/home/contest/154/problem,https://www.xujcoj.com/home/problem?keyword3=154,https://www.xujcoj.com/home/problem/detail/1407
17-18(1)第1次线上赛,3：单身情歌,班级里有一群男生女生，有情终成班对，无缘终成单身狗。假设班级里不存在gay或者les，问最多可能组成多少个班对。,"第1行是一个正整数n，表示测试案例的数量。
从第2行到第n+1行，每行是一组测试案例，每组案例首先是一个正整数a，表示班级的学生人数，然后是a个由M和F构成的字符，其中字符M表示一个男生，字符F表示一个女生。",针对每组案例，输出一个整数，表示最多可能组成多少个班对。每组案例输出完都要换行。,,"2
5 MMFFF
6 MFMFMF","2
3",52.55%,137,https://www.xujcoj.com/home/contest/154/problem/3,https://www.xujcoj.com/home/contest/154/problem,https://www.xujcoj.com/home/problem?keyword3=154,https://www.xujcoj.com/home/problem/detail/1406
17-18(1)第1次线上赛,5：规范日期格式,"有很多种表示日期的方法，比如对于2017年10月21日而言，中国的表示方法是2017.10.21，英国的表示方法是Oct.21, 2017，美国的表示方法是21 Oct., 2017，十分混乱。
对于日期的表示方法，班宝hrr比较喜欢按照yyyy-mm-dd的形式表示，其中yyyy表示4位数的年份，不足4位的情况下前面补0，补到4位数；mm表示2位数的月份，不足2位的情况下前面补0；dd表示2位数的天数，不足2位的情况下前面补0。例如2017年1月1日表示成2017-01-01，其中年份和月份之间，以及月份和天数之间是字符减号。","第1行是一个正整数n，表示测试案例的数量。
从第2行到第n+1行，每行是一组测试案例，有三个正整数a、b、c，其中a表示年份，b表示月份，c表示天数，1<=a<=9999，a、b、c构成的日期是合法有效的。",针对每组案例，按照yyyy-mm-dd的格式输出日期。每组案例输出完都要换行。,,"2
2017 1 1
189 3 20","2017-01-01
0189-03-20",52.00%,100,https://www.xujcoj.com/home/contest/154/problem/5,https://www.xujcoj.com/home/contest/154/problem,https://www.xujcoj.com/home/problem?keyword3=154,https://www.xujcoj.com/home/problem/detail/1409
16级线上比赛（2017/05/14）,3：Harshad数,DJ很喜欢数字，最近他又发现了一种有趣数字 - Harshad数：比方说，12 和18都是Harshad数，因为12可以被他的数字的和1+2=3整除，而18的可以被1+8=9整除。同理，20/21是第一组连续两个数字都是Harshad数的（20的可以被2+0=2整除，21的可以被2+1=3整除）。请问，有连续三个数字都是Harshad数的吗？,"第1行一个正整数n，代表以下有几行测试数据；
	第2到第n+1行各是1个正整数m（不小于100，但小于10000）。",每读入一行数据，就输出大于m，但连续三个数字都是Harshad数的最小的那个数。假如没有这样的数，输出0。输出后换行（最后一行输出后也换行）。,110，111，112连续三个数字都是Harshad数；所以输出110。,"1

100","110

",41.67%,12,https://www.xujcoj.com/home/contest/112/problem/3,https://www.xujcoj.com/home/contest/112/problem,https://www.xujcoj.com/home/problem?keyword3=112,https://www.xujcoj.com/home/problem/detail/1332
16级线上比赛（2017/05/14）,4：罗马数字（四）,"就像罗马数字是用字母来代表数字一样，古代希腊人及犹太人也用字母来代表数字。犹太人甚至用这个方法来计算每一段文字的”和”，然后把它加在每一段文字的后面，这样万一抄错一个字，就可以侦测出来，就像现代计算机中的 checksum 一样。
所以假如英文字母A~Z分别当作1~26，那么下面每一行英文的”和”是多少？(空白略过/或当作0；为了简化，我们也只取1个数字，也就是最后那一个数字)。","第1行一个正整数n，代表以下有几行测试数据；
	第2到第n+1行各是一行英文（只有大小写的字母或空格，没有其它任何符号）。","每读入一行数据，就输出一个数字，代表其”和”是多少，然后换行（最后一行也要换行）。
",第一个例子中，a是1，d是4，所以”和”是1+4+4=9。第二个例子中，o是15，k是11，所以”和”是15+0+11=26，但只取最后一位数，所以是6。,"2

Add

O K","9

6

",71.43%,7,https://www.xujcoj.com/home/contest/112/problem/4,https://www.xujcoj.com/home/contest/112/problem,https://www.xujcoj.com/home/problem?keyword3=112,https://www.xujcoj.com/home/problem/detail/1333
16级线上比赛（2017/05/14）,5：13日星期五,听说在西洋迷信中，13日星期五是视作不吉利的，因为很难得发生。DJ为了打破这个迷信，特地统计了到现在所有的13日到底都是星期几。请帮他算一下。,"第1行一个正整数n，代表以下有几行测试数据； 

第2到第n+1行各是2个数字，代表从那一年开始算（从那一年的1月1日开始），及那一年的1月1日是星期几（1=星期一，2=星期二，…，7=星期日）。

为了答题方便，这里的年份在1~2017之间；我们也只考虑“四年一闰；百年不闰, 四百年再闰”。（实际的历法在西元4年及1582年有调整，此处暂时忽略，有兴趣的自己上百度去了解）。",7个数字，分别是星期1~星期日的对应数目，数字间以一个空格分开，最后一个数字输出后直接换行，最后一行也要换行（注意：最后一个数字后面没有空格）。,"“现在”是指今天，2017.05.14。
2017年的1月13日是星期五，2月13日及3月13日都是星期一，4月13日是星期四，5月13日是星期六，所以共有有2个星期一，1个星期四，1个星期五，1个星期六，其他都是0；所以输出是 2 0 0 1 1 1 0。
同理，2016.1.1到2017.5.14共分别有3/2/3/2/2/3/2个星期一/…/星期日。","2

2017 7

2016 5","2 0 0 1 1 1 0

3 2 3 2 2 3 2

",100.00%,2,https://www.xujcoj.com/home/contest/112/problem/5,https://www.xujcoj.com/home/contest/112/problem,https://www.xujcoj.com/home/problem?keyword3=112,
16级线上比赛（2017/04/16）,4：亲和数,"古希腊数学家毕达哥拉斯在自然数研究中发现，220的所有真约数(即不是自身的约数)之和为： 

1+2+4+5+10+11+20+22+44+55+110＝284。 

而284的所有真约数为1、2、4、71、 
142，加起来恰好为220。人们对这样的数感到很惊奇，并称之为亲和数。一般地讲，如果两个数中任何一个数都是另一个数的真约数之和，则这两个数就是亲和数。 

你的任务就编写一个程序，判断给定的两个数是否是亲和数","输入数据第一行包含一个数M(1<=M<=100)，接下有M行，每行一个实例,包含两个整数A,B； 其中 0 <= A,B <= 1000000  ;",对于每个测试实例，如果A和B是亲和数的话输出YES，否则输出NO。 ,,"2
220 284
100 200","YES
NO",100.00%,14,https://www.xujcoj.com/home/contest/101/problem/4,https://www.xujcoj.com/home/contest/101/problem,https://www.xujcoj.com/home/problem?keyword3=101,https://www.xujcoj.com/home/problem/detail/1041
16级线上比赛（2017/04/16）,6：闰年！闰年！,"我们连续几次都遇到了闰年的问题：“四年一闰；百年不闰，四百年再闰”。


DJ为了彻底了解这个问题的根本，特地研究了一下，发现这个问题其实是根源于“地球公转一圈”实际是365日5小时48分46秒，所以才有闰年的调整：

由于每年比365天多了5小时48分46秒，所以每4年就多了23小时15分04秒；因此每4年就调整1天（24小时）。
但其实这又多加了44分56秒，所以每100年（25次）后又累积了18时43分20秒，因此100年就少“闰”1次。
可是这样每100年又少了5小时16分40秒，所以每400年（4次）又需要再“闰”回来。
请帮他算一下，按照这个理论，那么到西元m年的最后一秒时“误差”是多少？（假设西元1年1月1日是“原点”，就是没有误差）。","先是一个正整数 n 表示测试案例的数量。
每组案例包含一个不大于 2999 的正整数 m。","针对每组案例，输出三个数字（时、分、秒）表示误差的时间（小时可能为负），每两个数字之间用空格隔开。
每组案例输出结束之后都要换行。",100年总共多了5小时16分40秒，但第101年又多了5小时48分46秒，所以总共多了11小时5分26秒。,"4
1
100
101
2017","5 48 46
5 16 40
11 5 26
-12 22 22",100.00%,1,https://www.xujcoj.com/home/contest/101/problem/6,https://www.xujcoj.com/home/contest/101/problem,https://www.xujcoj.com/home/problem?keyword3=101,https://www.xujcoj.com/home/problem/detail/1311
16级线上比赛++（2017/04/02）,1：MJ逛街,"MJ陪妹纸逛街，MJ和妹纸都带了一些钱。逛街的时候MJ都是抢着买单，除非他剩余的钱不够。当MJ的钱不够时，会由妹纸全额买单，除非妹纸的钱也不够，这时候就不买这件物品了。不过如果接下来还有MJ能买得起的物品，MJ依旧还会抢着买单。
MJ和妹纸依次看上了n件物品，这n件物品有各自的价格，问最后MJ和妹纸分别会剩下多少钱。","只有一组数据。
第一行是两个非负整数a、b和一个正整数n，其中a和b分别表示MJ的钱和妹纸的钱，n表示物品的数量。
接下来是n个正整数，分别表示n件物品的价格。",两个整数，用一个空格相隔，不要换行，分别是MJ和妹纸最后剩余的钱。,,"10 10 3
3 5 6",2 4,61.82%,55,https://www.xujcoj.com/home/contest/87/problem/1,https://www.xujcoj.com/home/contest/87/problem,https://www.xujcoj.com/home/problem?keyword3=87,https://www.xujcoj.com/home/problem/detail/1243
16级线上比赛++（2017/04/02）,2：MJ刷题目,编程竞赛里有n道题目，MJ做第i道题目需要花费t[i]时间。在统计竞赛小分的时候，规定每道题目的小分是：从比赛开始时间到这道题目做出来经历的时间，而MJ的小分将会是每道题的小分之和。假设MJ能够在比赛结束前做出所有题目，并且可以任意调整做题顺序。他想要让自己的小分的值足够小，问小分的最小值是多少？,"只有一组案例。
第一行是一个正整数n，表示题目的数量。
然后是n个正整数，分别表示做每道题需要花费的时间。",一个整数，表示小分的最小值。不要换行。,对于样例而言，最好的方案是先用1分钟做完第1题，再用2分钟做完第2题，再用3分钟做完第3题。这样第1题的小分是1，第2题的小分是3，第3题的小分是6。总的小分是10。,"3
1 2 3",10,80.77%,26,https://www.xujcoj.com/home/contest/87/problem/2,https://www.xujcoj.com/home/contest/87/problem,https://www.xujcoj.com/home/problem?keyword3=87,https://www.xujcoj.com/home/problem/detail/1241
16级线上比赛++（2017/04/02）,4：MJ开黑,"MJ喜欢玩游戏，也喜欢开黑。为了不让对手看出开黑的内容，他和WPW定下了开黑的规则。
如果MJ打的一串字符里，先后出现过a、t、k（这3个字符不需要是挨着一起的，只要先出现了a，a后面某处出现了t，t后面某处出现了k即可），则表示进攻。
如果这串字符里先后出现过d、e、f，则表示防守。
如果这串字符里先后出现过g、g（不止两个g也可以），则表示认输。
当然，这个字符串里可能同时存在多个暗号，例如既出现进攻的暗号，又出现防守的暗号。如果遇到这种情况，WPW认定MJ疯了。","一个正整数n，表示测试案例的数量。
每组案例中有一个只由小写字母字符构成的字符串s，表示MJ的暗语。","针对每组案例，如果s中不包含任何暗号，则输出None；如果s中包含了两种或者三种不同的暗号，则输出Funny；如果s中的暗号是进攻，则输出Attack；如果s中的暗号是防守，则输出Defend；如果s中的暗号是认输，则输出GG。
每组案例输出完要换行。",,"5
abc
adtkefg
abstek
bcdefg
ffgghh","None
Funny
Attack
Defend
GG",43.48%,23,https://www.xujcoj.com/home/contest/87/problem/4,https://www.xujcoj.com/home/contest/87/problem,https://www.xujcoj.com/home/problem?keyword3=87,https://www.xujcoj.com/home/problem/detail/1244
16级线上比赛++（2017/04/02）,5：MJ吃水果,MJ很在乎科学的饮食，每天根据专家建议吃一定量的水果。MJ有n个苹果m个橙子，专家给了几种不同的方案，每种方案都分别标注了他每天该吃的苹果和橙子的数量。MJ每天会任意选择其中一种方案（不同天的方案可以相同也可以不同），同时MJ希望能够最终将苹果和橙子都吃完。在不考虑水果保质期的情况下，一共可以有多少种不同的吃法。（本题可以用递归）,"只有一组案例。
第一行是三个正整数n、m、p，其中n表示苹果的数量，m表示橙子的数量，p表示专家列出的方案数量（n<=10，m<=10，p<=5）
从第2行到第p+1行，一共有p组数据，每组数组包含了两个非负整数a和b，表示该种方案中每天该吃a个苹果b个橙子。不同组数据中的a、b两个数字保证不会完全相同，并且不会全都为0。",一个整数，表示有多少种不同的吃法。输出完不要换行。,"4个苹果3个橙子，有3种方案，方案1是1苹果1橙子，方案2是2苹果1橙子，方案3是1苹果2橙子。
合法的吃法是方案1、1、2，方案1、2、1，方案2、1、1，一共3种不同的吃法，都能刚好把水果都吃完。","4 3 3
1 1
2 1
1 2",3,66.67%,9,https://www.xujcoj.com/home/contest/87/problem/5,https://www.xujcoj.com/home/contest/87/problem,https://www.xujcoj.com/home/problem?keyword3=87,https://www.xujcoj.com/home/problem/detail/1239
